model_id,model_kind,metric,Domain (i),calib_subset,target_id,Specialist id,F_i,Specialist score,Merged/model score,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_dare__calib_instruction,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.05075815011372253,0.8208112206216831,0.7700530705079606,36,128,0.06427411517062057,0.06460512154444586,0.004652775950362434,0.04794446169398725,0.08009238104568794,0,35
aim_on_dare__calib_instruction,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21786428200563715,0.24281690402017506,0.4606811860258122,36,128,0.10292152153366867,0.09161655326897744,0.03901711711783464,0.06312485746457241,0.24701120116515085,0,1
aim_on_dare__calib_reasoning,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.28835489833641403,0.8170055452865065,0.5286506469500925,36,128,0.005962196992994804,0.005498754559084773,0.005241088128431621,0.0017995060188695788,0.0356830470263958,0,35
aim_on_dare__calib_reasoning,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.09090909090909088,0.5858585858585859,0.494949494949495,36,128,0.003129010431520227,0.002747419523075223,0.0033964952582020338,0.001050460385158658,0.022793395444750786,0,35
aim_on_dare__calib_reasoning,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.0803007328784433,0.8208112206216831,0.7405104877432398,36,128,0.010839643797630237,0.010643196292221546,0.004572686260143299,0.004532295744866133,0.03219155594706535,0,35
aim_on_dare__calib_reasoning,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21111250185432426,0.24281690402017506,0.4539294058744993,36,128,0.056838818127289414,0.045679742470383644,0.04808645493200489,0.013169622980058193,0.22418175637722015,0,1
aim_on_dare__calib_reasoning,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.28835489833641403,0.8170055452865065,0.5286506469500925,36,128,0.05904408758639571,0.06114329694537446,0.009634629414035874,0.034769725702062715,0.09362214780412614,0,35
aim_on_dare__calib_reasoning,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.09090909090909088,0.5858585858585859,0.494949494949495,36,128,0.05040196147335033,0.051994840512634255,0.00674514728954835,0.03383318010310177,0.07284839218482375,0,35
aim_on_dare__calib_reasoning,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.0803007328784433,0.8208112206216831,0.7405104877432398,36,128,0.06434005426732863,0.06426407300750725,0.00458849924079168,0.04937187975156121,0.08105704246554524,0,35
aim_on_dare__calib_reasoning,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21111250185432426,0.24281690402017506,0.4539294058744993,36,128,0.10276496023167662,0.09185645048273727,0.03904944341905482,0.0628511155518936,0.2474557198002003,0,1
aim_on_dare__calib_uncensored_refusal_like,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.2975970425138632,0.8170055452865065,0.5194085027726433,36,128,0.005882834789291438,0.005566947162151337,0.0050901426715667724,0.0018201649654656649,0.034740034490823746,0,35
aim_on_dare__calib_uncensored_refusal_like,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.0757575757575758,0.5858585858585859,0.51010101010101,36,128,0.003068650215734831,0.0027423998108133674,0.0033084043198598387,0.0010580987436696887,0.022238900884985924,0,35
